Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
-2.7027985880542587,-1.1532173711844034,175.7951589804208,348.0,-66.0,16343.0,2.0,1.0,2.0,152.5,83.25,-110.375
-4.228872550085016,-1.8071414199370768,172.57856722587528,336.0,-80.0,16358.0,1.0,0.0,2.0,150.375,79.875,-109.25
-5.085995847083214,-2.2055182586719484,169.95076887409667,318.0,-74.0,16368.0,2.0,3.0,2.0,151.125,82.5,-113.875
-5.4149178639794995,-2.4312994625354754,167.8068880229593,357.0,-104.0,16339.0,0.0,2.0,1.0,149.125,79.625,-109.125
-5.4883789718022005,-2.5349017156329365,165.93787553132498,323.0,-127.0,16362.0,2.0,2.0,1.0,149.375,81.0,-108.625
-10.189056574715122,-3.8448888918445085,160.36737007226606,523.0,-3676.0,15795.0,-771.0,148.0,1.0,159.625,183.5,-83.875
-16.637208035248857,-4.732286055925999,153.39427932855142,59.0,-9534.0,13472.0,-220.0,27.0,65.0,159.5,280.875,-15.125
-19.450402853145228,-5.083204885280169,149.91441984559685,6.0,-6181.0,15416.0,-113.0,23.0,-44.0,145.875,212.375,-81.625
-13.562052853487875,-3.8801752469112394,152.27340840045304,379.0,-79.0,16361.0,1.0,7.0,-3.0,160.125,77.125,-108.375
-12.062338141710384,-7.574096000511763,151.13231353250762,5245.0,-287.0,15547.0,-71.0,62.0,32.0,76.375,95.625,-107.625
-11.26433968025238,-11.448264863155606,149.54176068725482,5904.0,-584.0,15207.0,9.0,-21.0,-8.0,67.375,104.0,-109.625
-7.344860172592982,-7.375244935091969,151.35573121703078,1038.0,-58.0,16296.0,-1.0,1387.0,-14.0,156.125,69.0,-113.875
-5.04449679181947,-5.925212750713426,153.97158606272913,659.0,-66.0,16332.0,5.0,6.0,607.0,169.75,71.5,-97.25
-3.5958389823074857,-4.846187606747257,154.69295765531297,486.0,-92.0,16340.0,1.0,5.0,1.0,161.25,76.0,-107.0
-2.6393416287200124,-4.028489882670967,155.11503499637683,443.0,-103.0,16337.0,2.0,2.0,2.0,157.375,75.375,-107.25
-1.9401981989603772,-3.4358701870229886,155.46615938340182,475.0,-88.0,16343.0,1.0,1.0,2.0,161.125,74.875,-103.625
-1.6160395743959812,-3.049579893533408,155.40873881814306,462.0,-102.0,16336.0,1.0,1.0,2.0,160.125,80.5,-106.125
-1.300423986096116,-2.7176980213768553,155.4548769448369,452.0,-89.0,16357.0,1.0,0.0,0.0,159.25,77.125,-104.625
-1.0684720121293725,-2.476144289628777,155.47042528443384,471.0,-84.0,16352.0,1.0,3.0,1.0,160.75,77.5,-103.25
-0.8870845842098775,-2.2952162779876852,155.49634980588826,478.0,-89.0,16346.0,1.0,0.0,1.0,162.5,77.5,-104.125
-0.7082089725075901,-2.1451169308297895,155.55304759141325,476.0,-62.0,16361.0,2.0,0.0,2.0,160.875,75.625,-105.125
-0.6305844877966199,-2.024500130999728,155.56431411445192,459.0,-111.0,16353.0,2.0,1.0,2.0,161.0,76.0,-103.0
-0.5771167850513553,-1.9224648277069665,155.54674221536382,439.0,-99.0,16340.0,2.0,1.0,4.0,163.0,77.375,-105.125
-2.9752681588687637,-19.312253780470833,173.4402500765326,13468.0,1045.0,9295.0,1.0,69.0,10.0,-44.125,68.625,-56.25
-6.842178975668664,-34.565870292353985,169.55682081571803,13509.0,1054.0,8971.0,-21.0,28.0,9.0,-40.625,66.375,-56.125
-10.824440449988707,-45.33780824673392,167.75926093385343,13706.0,1012.0,8718.0,-4.0,67.0,13.0,-45.125,64.75,-53.875
-12.759023699351859,-56.304634243418064,166.00620384857925,14586.0,1867.0,7235.0,-8.0,-57.0,-178.0,-65.875,51.75,-35.5
-14.0987238716349,-62.44560216762346,165.7136766810189,14395.0,1543.0,7104.0,43.0,2.0,-2.0,-71.75,41.0,-36.5
-15.912092313333128,-67.34375795729477,165.59907262003222,14589.0,1744.0,6849.0,41.0,42.0,12.0,-74.5,45.625,-31.25
-10.84562088408946,-54.950395558764846,160.04626428103424,3781.0,-1508.0,16004.0,62.0,962.0,265.0,182.375,89.625,-68.375
-7.441248987901732,-44.80259699005149,157.62943770847838,172.0,40.0,16365.0,28.0,-43.0,-220.0,205.25,66.75,-50.75
-5.99709549512671,-36.167241934831374,157.87380353850858,63.0,46.0,16364.0,25.0,-24.0,6.0,209.75,61.625,-49.5
-4.5791700360277785,-29.31126062280937,158.5500639159791,26.0,244.0,16156.0,101.0,-242.0,-47.0,212.625,61.875,-51.25
-4.711171752904773,-46.10815150990889,149.9494697211359,15828.0,-325.0,2375.0,14.0,-13.0,59.0,-119.5,91.375,7.25
-4.7428333332880035,-61.572096671741974,142.30887747262702,16021.0,114.0,2031.0,6.0,111.0,56.0,-115.125,84.875,12.75
-6.6168663190734325,-73.82888473985453,138.20981337347783,16201.0,21.0,2257.0,-12.0,47.0,-31.0,-120.125,84.25,11.125
-14.553935484030195,-82.05012482862226,141.42062685435147,16070.0,129.0,1971.0,3.0,68.0,-12.0,-118.25,89.375,10.125
-54.1036209737334,-71.18001858821923,172.60534303395735,378.0,-16591.0,1379.0,-571.0,-412.0,292.0,173.875,325.0,56.0
-67.03489053977017,-59.56889220497656,177.6601681213581,-192.0,-16550.0,32.0,10.0,33.0,35.0,176.5,338.0,67.875
-75.76344682246166,-49.33927793022544,178.9863174360479,-668.0,-16910.0,-294.0,-15.0,-8.0,-369.0,147.375,342.0,55.5
-66.26044125653323,-49.13301628829054,169.00198032961282,6178.0,15155.0,-46.0,201.0,-14.0,-310.0,44.75,-181.625,126.0
-57.9742044140245,-47.87323258222284,160.62318435308418,4995.0,15500.0,-34.0,26.0,19.0,-73.0,56.375,-188.125,130.75
-52.3855685540033,-45.27818711175448,155.26902829156055,6919.0,14522.0,1323.0,-317.0,595.0,670.0,41.75,-153.625,80.375
-40.35792658944117,-39.08862647718273,153.7470560698809,-287.0,-1071.0,15859.0,21.0,-117.0,51.0,171.0,103.25,-98.5
-29.382795578504172,-34.12164505930314,152.8577356604953,2411.0,-65.0,16150.0,-1.0,52.0,10.0,145.5,98.375,-112.0
-1.0837685219416617,-0.3803181794228568,176.3668250038301,759.0,631.0,16654.0,-512.0,256.0,-168.0,208.875,63.125,-52.25
8.557441996579472,-10.33026300561508,-177.06565145677516,7189.0,6513.0,13319.0,756.0,-1342.0,203.0,55.875,-53.125,-44.25
6.5470605244070565,-10.255491620978708,-175.93786535375392,3813.0,196.0,-16420.0,-596.0,268.0,-90.0,45.25,-72.0,558.875
4.45768928923957,-9.455720101908645,-175.10404812607362,1961.0,288.0,-16801.0,-668.0,364.0,-138.0,62.75,-77.125,564.75
4.917931172865422,-18.7229966509101,-174.87362817349376,12364.0,9559.0,-881.0,-4798.0,2954.0,46.0,-16392.5,-124.625,62.125
2.4178133458202424,-15.17874665516496,-178.88033779660867,422.0,-1106.0,17117.0,-806.0,-19.0,-263.0,239.0,55.5,-45.75
0.30470624869902463,-11.917774364170302,176.7881851507223,463.0,-445.0,16394.0,-663.0,362.0,132.0,214.25,85.375,-64.875
-1.3226439927262028,-9.656712721395001,172.817084782999,794.0,-60.0,16347.0,-667.0,348.0,-152.0,204.75,85.125,-74.375
-2.5933787988067096,-7.86154255190853,169.61962664496073,821.0,-73.0,16357.0,-666.0,366.0,-152.0,203.25,86.125,-73.5
